question,query,answer_mixtral7b,retrieve_data_mixtral7b,BLEU_score_mixtral7b,SQ_score_mixtral7b
Which articles mention 'Direct Contact' as a transmission method?,MATCH (a:Article)-[:MENTIONS_TRANSMISSION]->(t:Transmission {method: 'Direct Contact'}) RETURN a.url,"MATCH (a:Article)-[:MENTIONS_TRANSMISSION]->(t:Transmission)WHERE t.method = 'Direct Contact'RETURN a.url, a.label, t.method",0.0,0.5339513102749062,0
How many viruses are transmitted by each method?,"MATCH (v:Virus)-[:SPREADS_BY]->(t:Transmission) RETURN t.method, count(v) AS virus_count",,0.0,0.0,0
What are all the organizations involved in viruses?,MATCH (o:Organization) RETURN o.name,"MATCH (o:Organization)-[:INVOLVED_IN]->(v:Virus)RETURN o.name, v.name",1.0,0.2829559628326351,0
Which organizations are involved in the virus Mpox?,MATCH (o:Organization)-[:INVOLVED_IN]->(v:Virus {name: 'Mpox'}) RETURN o.name,MATCH (o:Organization)-[:INVOLVED_IN]->(v:Virus)WHERE v.name = 'Mpox'RETURN o.name,1.0,0.7017544025847106,0
Which articles are published by the organization 'WHO'?,MATCH (a:Article)-[:PUBLISHED_BY]->(o:Organization {name: 'WHO'}) RETURN a.url,The query does not generate!,0.0,0.0,0
What are all the articles in the dataset?,"MATCH (a:Article) RETURN a.url, a.abstract, a.label",The query does not generate!,0.0,0.0,0
Which articles are labeled as true?,"MATCH (a:Article {label: 'True'}) RETURN a.url, a.abstract",,0.0,0.0,0
Which articles are labeled as fake?,"MATCH (a:Article {label: 'Fake'}) RETURN a.url, a.abstract",,0.0,0.0,0
Which virus is mentioned in the article with the URL 'example.com'?,MATCH (a:Article {url: 'example.com'})-[:ABOUT_VIRUS]->(v:Virus) RETURN v.name,MATCH (a:Article)-[:ABOUT_VIRUS]->(v:Virus)WHERE a.url = 'example.com'RETURN v.name,0.0,0.6440693842110241,0
Which symptoms are mentioned in the article with the URL 'example.com'?,MATCH (a:Article {url: 'example.com'})-[:MENTIONS_SYMPTOM]->(s:Symptom) RETURN s.name,MATCH (a:Article)-[:MENTIONS_SYMPTOM]->(s:Symptom)WHERE a.url = 'example.com'RETURN s.name,0.0,0.6440693842110241,0
What are the symptoms caused by Mpox in Mexico?,MATCH (v:Virus {name: 'Mpox'})-[:CAUSES]->(s:Symptom)<-[:MENTIONS_SYMPTOM]-(a:Article)-[:MENTIONS_LOCATION]->(l:Location {name: 'Mexico'}) RETURN s.name,The query does not generate!,0.0,0.0,0
Which transmission methods are mentioned in articles about Mpox in Mexico?,MATCH (a:Article)-[:ABOUT_VIRUS]->(v:Virus {name: 'Mpox'})-[:SPREADS_BY]->(t:Transmission) WHERE (a)-[:MENTIONS_LOCATION]->(l:Location {name: 'Mexico'}) RETURN t.method,The query does not generate!,0.0,0.0,0
Which organizations are involved in publishing articles about Mpox?,"MATCH (a:Article)-[:ABOUT_VIRUS]->(v:Virus {name: 'Mpox'})-[:PUBLISHED_BY]->(o:Organization) RETURN o.name, a.url",MATCH (o:Organization)<-[:PUBLISHED_BY]-(a:Article)-[:ABOUT_VIRUS]->(v:Virus)WHERE v.name = 'Mpox'RETURN o.name,1.0,0.6292821959920049,0
How many articles mention Mpox?,MATCH (a:Article)-[:ABOUT_VIRUS]->(v:Virus {name: 'Mpox'}) RETURN count(a),MATCH (a:Article)-[:MENTIONS_SYMPTOM]->(s:Symptom)WHERE s.name = 'Mpox'RETURN count(a),1.0,0.44534567460430635,0
How many symptoms are associated with each virus?,"MATCH (v:Virus)-[:CAUSES]->(s:Symptom) RETURN v.name, count(s) AS symptom_count",The query does not generate!,0.0,0.0,0
Which virus spreads through 'Animal Transmission'?,MATCH (v:Virus)-[:SPREADS_BY]->(t:Transmission {method: 'Animal Transmission'}) RETURN v.name,MATCH (virus:Virus)-[:SPREADS_BY]->(transmission:Transmission {method: 'Animal Transmission'}) RETURN virus.name,0.0,0.7431273897965557,0
What is the abstract of the article with the URL 'example.com'?,MATCH (a:Article {url: 'example.com'}) RETURN a.abstract,MATCH (a:Article)-[:ABOUT_VIRUS]->(v:Virus) WHERE a.url = 'example.com' RETURN a.abstract,0.0,0.23035298119758527,0
How many articles are labeled as fact?,MATCH (a:Article {label: 'True'}) RETURN count(a),MATCH (a:Article) WHERE a.label = 'fact' RETURN COUNT(a),1.0,0.31007120066002053,0
Which viruses are mentioned in the dataset?,MATCH (v:Virus) RETURN v.name,MATCH (v:Virus)RETURN v.name,1.0,1.0,0
Which viruses affect multiple locations?,"MATCH (v:Virus)-[:AFFECTS]->(l:Location) WITH v, COUNT(l) AS location_count WHERE location_count > 1 RETURN v.name, location_count","MATCH (virus:Virus)-[:AFFECTS]->(location:Location)WITH virus, count(location) as location_countWHERE location_count > 1RETURN virus.name as virus_name",1.0,0.4012421530677208,0
Which viruses are spread by multiple transmission methods?,"MATCH (v:Virus)-[:SPREADS_BY]->(t:Transmission) WITH v, COUNT(t) AS method_count WHERE method_count > 1 RETURN v.name, method_count",The query does not generate!,0.0,0.0,0
Which viruses are involved in more than one article?,"MATCH (v:Virus)<-[:ABOUT_VIRUS]-(a:Article) WITH v, COUNT(a) AS article_count WHERE article_count > 1 RETURN v.name, article_count","MATCH (virus:Virus)<-[:ABOUT_VIRUS]-(article:Article)WITH virus, count(article) as article_countWHERE article_count > 1RETURN virus.name",1.0,0.42658718201993157,0
What is the total number of viruses in the dataset?,MATCH (v:Virus) RETURN COUNT(v) AS virus_count,MATCH (v:Virus)RETURN count(v),1.0,0.49953614375977784,0
Which symptom is most frequently mentioned in articles?,"MATCH (a:Article)-[:MENTIONS_SYMPTOM]->(s:Symptom) RETURN s.name, COUNT(a) AS mention_count ORDER BY mention_count DESC LIMIT 1","MATCH (s:Symptom)<-[:MENTIONS_SYMPTOM]-(a:Article)RETURN s.name, count(a)ORDER BY count(a) DESCLIMIT 1",1.0,0.503250593231763,0
Which viruses cause both 'Fever' and 'Rash'?,"MATCH (v:Virus)-[:CAUSES]->(s:Symptom) WHERE s.name IN ['Fever', 'Rash'] RETURN v.name","MATCH (virus:Virus)-[:CAUSES]->(symptom:Symptom)WHERE symptom.name = 'Fever' OR symptom.name = 'Rash'WITH virus, collect(DISTINCT symptom.name) AS symptomsWHERE size(symptoms) = 2 AND 'Fever' IN symptoms AND 'Rash' IN symptomsRETURN virus.name",1.0,0.24972407034733118,0
Which symptoms are related to viruses that affect Mexico?,MATCH (v:Virus)-[:CAUSES]->(s:Symptom) WHERE (v)-[:AFFECTS]->(l:Location {name: 'Mexico'}) RETURN DISTINCT s.name,The query does not generate!,0.0,0.0,0
How many symptoms are mentioned in each article?,"MATCH (a:Article)-[:MENTIONS_SYMPTOM]->(s:Symptom) RETURN a.url, COUNT(s) AS symptom_count",The query does not generate!,0.0,0.0,0
Which viruses cause symptoms related to respiratory issues?,MATCH (s:Symptom) WHERE s.name CONTAINS 'Respiratory' WITH s MATCH (v:Virus)-[:CAUSES]->(s) RETURN v.name,MATCH (virus:Virus)-[:CAUSES]->(symptom:Symptom)WHERE symptom.name CONTAINS 'respiratory'RETURN virus.name,0.0,0.4293949011639416,0
Which locations are mentioned in more than one article?,"MATCH (a:Article)-[:MENTIONS_LOCATION]->(l:Location) WITH l, COUNT(a) AS article_count WHERE article_count > 1 RETURN l.name, article_count",The query does not generate!,0.0,0.0,0
Which viruses affect locations in both North America and Europe?,"MATCH (v:Virus)-[:AFFECTS]->(l:Location) WHERE l.country IN ['United States', 'Mexico', 'Canada', 'United Kingdom', 'France', 'Germany'] RETURN v.name, COUNT(l) AS location_count",The query does not generate!,0.0,0.0,0
Which countries have the most virus-related articles?,"MATCH (a:Article)-[:MENTIONS_LOCATION]->(l:Location) RETURN l.country, COUNT(a) AS article_count ORDER BY article_count DESC","MATCH (l:Location)<-[:MENTIONS_LOCATION]-(a:Article)RETURN l.name, count(a)ORDER BY count(a) DESC",1.0,0.47718507432550317,0
What are the top 3 locations most frequently affected by viruses?,"MATCH (v:Virus)-[:AFFECTS]->(l:Location) RETURN l.name, COUNT(v) AS virus_count ORDER BY virus_count DESC LIMIT 3","MATCH (l:Location)<-[:AFFECTS]-(:Virus)RETURN l.name, count(*) AS frequencyORDER BY frequency DESCLIMIT 3",1.0,0.3874513928391024,0
Which articles mention locations in Asia?,"MATCH (a:Article)-[:MENTIONS_LOCATION]->(l:Location) WHERE l.country IN ['China', 'India', 'Japan'] RETURN a.url","MATCH (a:Article)-[:MENTIONS_LOCATION]->(l:Location)WHERE l.country CONTAINS 'Asia'RETURN a.url, a.label, l.name",0.0,0.6855805494774985,0
Which transmission method is most common for viruses?,"MATCH (v:Virus)-[:SPREADS_BY]->(t:Transmission) RETURN t.method, COUNT(v) AS virus_count ORDER BY virus_count DESC LIMIT 1",,0.0,0.0,0
Which viruses are spread by both airborne and droplet transmission?,"MATCH (v:Virus)-[:SPREADS_BY]->(t:Transmission) WHERE t.method IN ['Airborne', 'Droplet'] RETURN v.name","MATCH (virus:Virus)-[:SPREADS_BY]->(transmission1:Transmission),      (virus)-[:SPREADS_BY]->(transmission2:Transmission)WHERE transmission1.method = 'airborne' AND transmission2.method = 'droplet'RETURN DISTINCT virus.name",0.0,0.306432401921252,0
Which articles mention viruses that are spread by direct contact?,MATCH (a:Article)-[:ABOUT_VIRUS]->(v:Virus)-[:SPREADS_BY]->(t:Transmission {method: 'Direct Contact'}) RETURN a.url,"MATCH (a:Article)-[:MENTIONS_TRANSMISSION]->(t:Transmission)<-[:SPREADS_BY]-(v:Virus)WHERE t.method = 'direct contact'RETURN a.url, a.label, v.name",0.0,0.48293752453528854,0
Which transmission methods are mentioned in the most articles?,"MATCH (a:Article)-[:MENTIONS_TRANSMISSION]->(t:Transmission) RETURN t.method, COUNT(a) AS mention_count ORDER BY mention_count DESC","MATCH (a:Article)-[:MENTIONS_TRANSMISSION]->(t:Transmission)RETURN t.method, COUNT(a)ORDER BY COUNT(a) DESC",1.0,0.7580349239129277,0
How many different transmission methods are associated with each virus?,"MATCH (v:Virus)-[:SPREADS_BY]->(t:Transmission) RETURN v.name, COUNT(t) AS method_count","MATCH (v:Virus)-[:SPREADS_BY]->(t:Transmission)RETURN v.name, count(distinct t.method) as transmission_methods",1.0,0.7183564781443551,0
Which organizations are involved in more than one virus?,"MATCH (o:Organization)-[:INVOLVED_IN]->(v:Virus) WITH o, COUNT(v) AS virus_count WHERE virus_count > 1 RETURN o.name, virus_count",,0.0,0.0,0
Which articles are published by more than one organization?,"MATCH (a:Article)-[:PUBLISHED_BY]->(o:Organization) WITH a, COUNT(o) AS org_count WHERE org_count > 1 RETURN a.url, org_count","MATCH (a:Article)-[:PUBLISHED_BY]->(org)WITH a, count(org) as org_countWHERE org_count > 1RETURN a.url, a.label, org_count",1.0,0.5698194897801551,0
Which organizations are involved in articles about viruses spread by airborne transmission?,MATCH (a:Article)-[:ABOUT_VIRUS]->(v:Virus)-[:SPREADS_BY]->(t:Transmission {method: 'Airborne'})-[:PUBLISHED_BY]->(o:Organization) RETURN o.name,MATCH (o:Organization)<-[:PUBLISHED_BY]-(:Article)-[:ABOUT_VIRUS]->(v:Virus)-[:SPREADS_BY]->(t:Transmission {method: 'airborne'})RETURN o.name,1.0,0.82740926668467,0
What is the total number of organizations involved in the dataset?,MATCH (o:Organization) RETURN COUNT(o) AS org_count,MATCH (o:Organization)RETURN COUNT(o),1.0,0.6951439283988786,0
Which organizations are involved in viruses affecting both North and South America?,"MATCH (o:Organization)-[:INVOLVED_IN]->(v:Virus)-[:AFFECTS]->(l:Location) WHERE l.country IN ['United States', 'Brazil'] RETURN DISTINCT o.name","MATCH (o:Organization)-[:INVOLVED_IN]->(v:Virus)-[:AFFECTS]->(l:Location)WHERE l.country = 'North America' OR l.country = 'South America'WITH o, collect(DISTINCT l.country) AS countriesWHERE size(countries) = 2RETURN o",0.0,0.5665258240340114,0
Which articles are about viruses that spread by both airborne and direct contact?,"MATCH (a:Article)-[:ABOUT_VIRUS]->(v:Virus)-[:SPREADS_BY]->(t:Transmission) WHERE t.method IN ['Airborne', 'Direct Contact'] RETURN a.url","MATCH (virus:Virus)-[:AFFECTS]->(:Location), (virus)-[:SPREADS_BY]->(transmission1:Transmission), (virus)-[:SPREADS_BY]->(transmission2:Transmission), (article:Article)-[:ABOUT_VIRUS]->(virus), (article)-[:MENTIONS_TRANSMISSION]->(transmission1), (article)-[:MENTIONS_TRANSMISSION]->(transmission2)WHERE transmission1.method = 'airborne' AND transmission2.method = 'direct contact'RETURN DISTINCT article.url, article.label, article.abstract",0.0,0.2141225275125984,0
Which articles are related to more than one virus?,"MATCH (a:Article)-[:ABOUT_VIRUS]->(v:Virus) WITH a, COUNT(v) AS virus_count WHERE virus_count > 1 RETURN a.url, virus_count","MATCH (a:Article)-[:ABOUT_VIRUS]->(virus)WITH a, collect(virus) AS virusesWHERE size(viruses) > 1RETURN a",0.0,0.41016460023949186,0
Which articles mention both 'Fever' and 'Rash' as symptoms?,"MATCH (a:Article)-[:MENTIONS_SYMPTOM]->(s:Symptom) WHERE s.name IN ['Fever', 'Rash'] RETURN a.url",The query does not generate!,0.0,0.0,0
Which articles are published by more than one organization?,"MATCH (a:Article)-[:PUBLISHED_BY]->(o:Organization) WITH a, COUNT(o) AS org_count WHERE org_count > 1 RETURN a.url, org_count",MATCH (o:Organization)<-[:PUBLISHED_BY]-(a:Article)-[:PUBLISHED_BY]->(o2:Organization)WHERE o <> o2RETURN DISTINCT a,1.0,0.42295887240413005,0
Which articles mention both Mexico and the United States?,"MATCH (a:Article)-[:MENTIONS_LOCATION]->(l:Location) WHERE l.country IN ['Mexico', 'United States'] RETURN DISTINCT a.url",MATCH (a:Article)-[:MENTIONS_LOCATION]->(l1:Location) WHERE l1.name = 'Mexico'MATCH (a)-[:MENTIONS_LOCATION]->(l2:Location) WHERE l2.name = 'United States'RETURN a,0.0,0.3636043693453636,0
Which organizations publish articles about Mpox in Mexico?,"MATCH (a:Article)-[:ABOUT_VIRUS]->(v:Virus {name: 'Mpox'})-[:PUBLISHED_BY]->(o:Organization) WHERE (a)-[:MENTIONS_LOCATION]->(l:Location {name: 'Mexico'}) RETURN o.name, a.url","MATCH (o:Organization)<-[:PUBLISHED_BY]-(a:Article)-[:ABOUT_VIRUS]->(v:Virus)-[:AFFECTS]->(l:Location)WHERE o.name = 'Organization name' AND v.name = 'Mpox' AND l.name = 'Mexico'RETURN o.name, collect(a.url) as article_urls",0.0,0.5160718173219608,0
Which viruses cause symptoms related to respiratory and cardiovascular issues?,MATCH (s:Symptom) WHERE s.name CONTAINS 'Respiratory' OR s.name CONTAINS 'Cardiovascular' WITH s MATCH (v:Virus)-[:CAUSES]->(s) RETURN v.name,"MATCH (v:Virus)-[:CAUSES]->(s:Symptom)WHERE s.name CONTAINS 'respiratory' OR s.name CONTAINS 'cardiovascular'RETURN v.name AS Virus, collect(s.name) AS Related_Symptoms",0.0,0.6029567830829301,0
Which transmission methods are mentioned in articles about viruses affecting both Mexico and the United States?,"MATCH (a:Article)-[:ABOUT_VIRUS]->(v:Virus)-[:MENTIONS_TRANSMISSION]->(t:Transmission) WHERE (a)-[:MENTIONS_LOCATION]->(l:Location) AND l.country IN ['Mexico', 'United States'] RETURN t.method, COUNT(a)","MATCH (virus:Virus)-[:AFFECTS]->(location:Location)WHERE location.name IN ['Mexico', 'United States']MATCH (article:Article)-[:ABOUT_VIRUS]->(virus)MATCH (article)-[:MENTIONS_TRANSMISSION]->(transmission:Transmission)RETURN DISTINCT transmission.method",1.0,0.5403392609812303,0
Which symptoms are caused by viruses that are spread by airborne and droplet transmission?,"MATCH (v:Virus)-[:CAUSES]->(s:Symptom) WHERE (v)-[:SPREADS_BY]->(t:Transmission) AND t.method IN ['Airborne', 'Droplet'] RETURN s.name",MATCH (virus:Virus)-[:CAUSES]->(symptom:Symptom)WHERE (virus)-[:SPREADS_BY]->(:Transmission {method: 'airborne'})AND (virus)-[:SPREADS_BY]->(:Transmission {method: 'droplet'})RETURN symptom.name,0.0,0.39303765107598937,0
Which organizations publish articles about viruses affecting both Mexico and Brazil?,"MATCH (a:Article)-[:ABOUT_VIRUS]->(v:Virus)-[:PUBLISHED_BY]->(o:Organization) WHERE (a)-[:MENTIONS_LOCATION]->(l:Location) AND l.country IN ['Mexico', 'Brazil'] RETURN DISTINCT o.name, a.url","MATCH (o:Organization)<-[:PUBLISHED_BY]-(a:Article)-[:ABOUT_VIRUS]->(v:Virus)-[:AFFECTS]->(l1:Location {name: ""Mexico""})OPTIONAL MATCH (v)-[:AFFECTS]->(l2:Location {name: ""Brazil""})WHERE l2 <> NULLRETURN o, a, v, l1, l2",1.0,0.43210654664219705,0
Which viruses cause the most symptoms?,"MATCH (v:Virus)-[:CAUSES]->(s:Symptom) RETURN v.name, COUNT(s) AS symptom_count ORDER BY symptom_count DESC LIMIT 1",The query does not generate!,0.0,0.0,0
Which viruses affect the most countries?,"MATCH (v:Virus)-[:AFFECTS]->(l:Location) RETURN v.name, COUNT(DISTINCT l.country) AS country_count ORDER BY country_count DESC LIMIT 1",The query does not generate!,0.0,0.0,0
Which organizations are involved in the most viruses?,"MATCH (o:Organization)-[:INVOLVED_IN]->(v:Virus) RETURN o.name, COUNT(v) AS virus_count ORDER BY virus_count DESC LIMIT 1",,0.0,0.0,0
Which articles mention viruses affecting more than one continent?,"MATCH (a:Article)-[:MENTIONS_LOCATION]->(l:Location) WITH a, COUNT(DISTINCT l.country) AS location_count WHERE location_count > 1 RETURN a.url",,0.0,0.0,0
Which viruses are transmitted via multiple methods in more than one location?,"MATCH (v:Virus)-[:SPREADS_BY]->(t:Transmission), (v)-[:AFFECTS]->(l:Location) WITH v, COUNT(DISTINCT t) AS method_count, COUNT(DISTINCT l) AS location_count WHERE method_count > 1 AND location_count > 1 RETURN v.name","MATCH (v:Virus)-[:SPREADS_BY]->(t:Transmission)<-[:SPREADS_BY]-(v2:Virus),(v)-[:AFFECTS]->(l:Location)<-[:AFFECTS]-(v2)WITH v, COUNT(DISTINCT t) as numTransmissionMethods, COUNT(DISTINCT l) as numLocationsWHERE numTransmissionMethods > 1 AND numLocations > 1RETURN v.name as name, numTransmissionMethods as numTransmissionMethods, numLocations as numLocations",1.0,0.5029955327533682,0
Which symptoms are associated with viruses transmitted by direct contact?,MATCH (v:Virus)-[:SPREADS_BY]->(t:Transmission {method: 'Direct Contact'})-[:CAUSES]->(s:Symptom) RETURN DISTINCT s.name,,0.0,0.0,0
What articles mention symptoms related to 'Cardiovascular' issues?,MATCH (a:Article)-[:MENTIONS_SYMPTOM]->(s:Symptom) WHERE s.name CONTAINS 'Cardiovascular' RETURN a.url,"MATCH (a:Article)-[:MENTIONS_SYMPTOM]->(s:Symptom)WHERE s.name CONTAINS 'Cardiovascular'RETURN a.url, a.abstract, s.name",0.0,0.7017437105337435,0
What viruses are transmitted via both 'Direct Contact' and 'Airborne' methods?,"MATCH (v:Virus)-[:SPREADS_BY]->(t:Transmission) WHERE t.method IN ['Direct Contact', 'Airborne'] RETURN DISTINCT v.name","MATCH (v:Virus)-[:SPREADS_BY]->(t:Transmission)WHERE t.method IN ['Direct Contact', 'Airborne']WITH v, collect(distinct t.method) as methodsWHERE size(methods) = 2RETURN v.name AS VirusName",0.0,0.5890691216083606,0
Which organizations publish articles about viruses affecting Europe?,"MATCH (a:Article)-[:MENTIONS_LOCATION]->(l:Location) WHERE l.country IN ['United Kingdom', 'France', 'Germany']-[:PUBLISHED_BY]->(o:Organization) RETURN DISTINCT o.name, a.url",MATCH (o:Organization)<-[:PUBLISHED_BY]-(a:Article)-[:ABOUT_VIRUS]->(v:Virus)-[:AFFECTS]->(l:Location)WHERE l.country = 'Europe'RETURN o.name,0.0,0.562928159934221,0
Which viruses cause both respiratory and gastrointestinal symptoms?,MATCH (v:Virus)-[:CAUSES]->(s:Symptom) WHERE s.name CONTAINS 'Respiratory' OR s.name CONTAINS 'Gastrointestinal' RETURN DISTINCT v.name,The query does not generate!,0.0,0.0,0
Which articles mention both respiratory and cardiovascular symptoms?,MATCH (a:Article)-[:MENTIONS_SYMPTOM]->(s:Symptom) WHERE s.name CONTAINS 'Respiratory' OR s.name CONTAINS 'Cardiovascular' RETURN a.url,"MATCH (a:Article)-[:MENTIONS_SYMPTOM]->(s1:Symptom {name: 'respiratory'}), (a)-[:MENTIONS_SYMPTOM]->(s2:Symptom {name: 'cardiovascular'})RETURN a",0.0,0.336849371540157,0
Which organizations are involved in publishing articles about viruses affecting Asia?,"MATCH (a:Article)-[:MENTIONS_LOCATION]->(l:Location) WHERE l.country IN ['China', 'India', 'Japan']-[:PUBLISHED_BY]->(o:Organization) RETURN DISTINCT o.name, a.url",MATCH (o:Organization)<-[:PUBLISHED_BY]-(a:Article)-[:ABOUT_VIRUS]->(v:Virus)-[:AFFECTS]->(l:Location {country: 'Asia'})RETURN o,0.0,0.47073285551627014,0
Which articles mention viruses transmitted by both animals and direct contact?,"MATCH (a:Article)-[:ABOUT_VIRUS]->(v:Virus)-[:SPREADS_BY]->(t:Transmission) WHERE t.method IN ['Animal', 'Direct Contact'] RETURN DISTINCT a.url","MATCH (virus:Virus)-[:SPREADS_BY]->(transmission:Transmission)WHERE transmission.method CONTAINS 'animals' AND transmission.method CONTAINS 'direct contact'MATCH (article:Article)-[:MENTIONS_TRANSMISSION]->(transmission)RETURN article.url, article.abstract, transmission.method",0.0,0.37570673514117797,0
Which symptoms are most commonly mentioned in articles about viruses affecting the United States?,"MATCH (a:Article)-[:MENTIONS_SYMPTOM]->(s:Symptom)-[:MENTIONS_LOCATION]->(l:Location {country: 'United States'}) RETURN s.name, COUNT(a) AS mention_count ORDER BY mention_count DESC LIMIT 1","MATCH (virus:Virus)-[:AFFECTS]->(location:Location)<-[:MENTIONS_LOCATION]-(article:Article)-[:MENTIONS_SYMPTOM]->(symptom:Symptom)WHERE location.country = 'United States'RETURN symptom.name, count(article)ORDER BY count(article) DESC",0.0,0.3952940863115778,0
Which articles mention viruses affecting both North America and Asia?,"MATCH (a:Article)-[:MENTIONS_LOCATION]->(l:Location) WHERE l.country IN ['United States', 'China'] RETURN DISTINCT a.url","MATCH (virus:Virus)-[:AFFECTS]->(location:Location)WHERE location.country IN ['North America', 'Asia']WITH DISTINCT virusMATCH (virus)<-[:ABOUT_VIRUS]-(article:Article)RETURN article.url, article.label, article.abstract",0.0,0.18771816026273827,0
Which transmission methods are mentioned in articles about viruses causing respiratory symptoms?,MATCH (a:Article)-[:ABOUT_VIRUS]->(v:Virus)-[:SPREADS_BY]->(t:Transmission)-[:MENTIONS_SYMPTOM]->(s:Symptom {name: 'Respiratory'}) RETURN t.method,MATCH (virus:Virus)-[:CAUSES]->(symptom:Symptom)<-[:MENTIONS_SYMPTOM]-(article:Article)-[:MENTIONS_TRANSMISSION]->(transmission:Transmission)WHERE symptom.name CONTAINS 'respiratory'RETURN DISTINCT transmission.method,0.0,0.4160057804515134,0
Which organizations are involved in viruses affecting multiple continents?,"MATCH (o:Organization)-[:INVOLVED_IN]->(v:Virus)-[:AFFECTS]->(l:Location) WITH o, COUNT(DISTINCT l.country) AS continent_count WHERE continent_count > 1 RETURN o.name, continent_count",The query does not generate!,0.0,0.0,0
What symptoms are mentioned in articles published by WHO?,"MATCH (a:Article)-[:PUBLISHED_BY]->(o:Organization {name: 'WHO'})-[:MENTIONS_SYMPTOM]->(s:Symptom) RETURN s.name, COUNT(a) AS mention_count ORDER BY mention_count DESC",,0.0,0.0,0
Which transmission methods are associated with articles mentioning cardiovascular symptoms?,MATCH (a:Article)-[:MENTIONS_SYMPTOM]->(s:Symptom {name: 'Cardiovascular'})-[:ABOUT_VIRUS]->(v:Virus)-[:SPREADS_BY]->(t:Transmission) RETURN t.method,MATCH (t:Transmission)<-[:SPREADS_BY]-(v:Virus)-[:CAUSES]->(s:Symptom)<-[:MENTIONS_SYMPTOM]-(a:Article)-[:MENTIONS_TRANSMISSION]->(t)RETURN DISTINCT t.method,1.0,0.6159678024196328,0
Which viruses are mentioned in articles labeled as true?,MATCH (a:Article {label: 'True'})-[:ABOUT_VIRUS]->(v:Virus) RETURN DISTINCT v.name,MATCH (v:Virus)<-[:ABOUT_VIRUS]-(a:Article)-[:PUBLISHED_BY]->(org:Organization)WHERE a.label = 'true'RETURN v.name,1.0,0.3989099943658873,0
