question,query,answer_llama8b,retrieve_data_llama8b,BLEU_score_llama8b,SQ_score_llama8b
Which articles mention Mexico?,MATCH (a:Article)-[:MENTIONS_LOCATION]->(l:Location {name: 'Mexico'}) RETURN a.url,"MATCH (a:Article)-[r:MENTIONS_LOCATION]->(l:Location{country:""Mexico""}) RETURN a, r, l",0.0,0.5973854416921761,0
What locations are affected by more than one virus?,"MATCH (v:Virus)-[:AFFECTS]->(l:Location) WITH l, COUNT(v) AS virus_count WHERE virus_count > 1 RETURN l.name, virus_count",The query does not generate!,0.0,0.0,0
What are all the transmission methods in the dataset?,MATCH (t:Transmission) RETURN t.method,MATCH (t:Transmission) RETURN t.method,1.0,1.0,1
Which viruses are spread by 'Airborne Transmission'?,MATCH (v:Virus)-[:SPREADS_BY]->(t:Transmission {method: 'Airborne Transmission'}) RETURN v.name,MATCH (v:Virus)-[:SPREADS_BY]->(t:Transmission {method: 'Airborne Transmission'}) RETURN v.name,0.0,1.0,1
Which articles mention 'Direct Contact' as a transmission method?,MATCH (a:Article)-[:MENTIONS_TRANSMISSION]->(t:Transmission {method: 'Direct Contact'}) RETURN a.url,MATCH (t:Transmission {method: 'Direct Contact'})-[ar:MENTIONS_TRANSMISSION]-(a:Article) RETURN a;,0.0,0.6938231058024548,0
How many viruses are transmitted by each method?,"MATCH (v:Virus)-[:SPREADS_BY]->(t:Transmission) RETURN t.method, count(v) AS virus_count","MATCH (v:Virus)-[:SPREADS_BY]->(t:Transmission) RETURN t.method, COUNT(DISTINCT v) AS count",1.0,0.8055689114420596,0
What are all the organizations involved in viruses?,MATCH (o:Organization) RETURN o.name,MATCH (v :Virus)-[:INVOLVED_IN]-(o :Organization) RETURN o,1.0,0.2971567888130264,0
Which organizations are involved in the virus Mpox?,MATCH (o:Organization)-[:INVOLVED_IN]->(v:Virus {name: 'Mpox'}) RETURN o.name,MATCH (o:Organization)-[r:INVOLVED_IN]->(v:Virus) WHERE v.name = 'Mpox' RETURN o.name,1.0,0.6362610395752919,0
Which articles are published by the organization 'WHO'?,MATCH (a:Article)-[:PUBLISHED_BY]->(o:Organization {name: 'WHO'}) RETURN a.url,MATCH (o:Organization {name: 'WHO'})<-[:PUBLISHED_BY]-(a:Article) RETURN a,1.0,0.7181801195447475,0
What are all the articles in the dataset?,"MATCH (a:Article) RETURN a.url, a.abstract, a.label",MATCH (a:Article) RETURN a,1.0,0.2865047968601901,0
Which articles are labeled as true?,"MATCH (a:Article {label: 'True'}) RETURN a.url, a.abstract",MATCH (a:Article)-[:ABOUT_VIRUS]->(v:Virus)-[:CAUSES]->(s:Symptom) WHERE labels(a) CONTAINS 'true' RETURN a;,0.0,0.10279947040838337,0
Which articles are labeled as fake?,"MATCH (a:Article {label: 'Fake'}) RETURN a.url, a.abstract","MATCH (a:Article {label: ""Fake""}) RETURN a",0.0,0.4959727155530249,0
Which virus is mentioned in the article with the URL 'example.com'?,MATCH (a:Article {url: 'example.com'})-[:ABOUT_VIRUS]->(v:Virus) RETURN v.name,MATCH (a:Article {url: 'example.com'})-[:ABOUT_VIRUS]->(v:Virus) RETURN v,0.0,0.9333588643117227,0
Which symptoms are mentioned in the article with the URL 'example.com'?,MATCH (a:Article {url: 'example.com'})-[:MENTIONS_SYMPTOM]->(s:Symptom) RETURN s.name,The query does not generate!,0.0,0.0,0
What are the symptoms caused by Mpox in Mexico?,MATCH (v:Virus {name: 'Mpox'})-[:CAUSES]->(s:Symptom)<-[:MENTIONS_SYMPTOM]-(a:Article)-[:MENTIONS_LOCATION]->(l:Location {name: 'Mexico'}) RETURN s.name,,0.0,0.0,0
Which transmission methods are mentioned in articles about Mpox in Mexico?,MATCH (a:Article)-[:ABOUT_VIRUS]->(v:Virus {name: 'Mpox'})-[:SPREADS_BY]->(t:Transmission) WHERE (a)-[:MENTIONS_LOCATION]->(l:Location {name: 'Mexico'}) RETURN t.method,,0.0,0.0,0
Which organizations are involved in publishing articles about Mpox?,"MATCH (a:Article)-[:ABOUT_VIRUS]->(v:Virus {name: 'Mpox'})-[:PUBLISHED_BY]->(o:Organization) RETURN o.name, a.url","MATCH (o:Organization)<-[:PUBLISHED_BY]-(article:Article)-[:ABOUT_VIRUS]->(v:Virus {name:""Mpox""}) RETURN o",1.0,0.6524652690371727,0
How many articles mention Mpox?,MATCH (a:Article)-[:ABOUT_VIRUS]->(v:Virus {name: 'Mpox'}) RETURN count(a),MATCH (a:Article)-[:ABOUT_VIRUS]->(v:Virus {name: 'Mpox'}) RETURN count(a),1.0,1.0,1
How many symptoms are associated with each virus?,"MATCH (v:Virus)-[:CAUSES]->(s:Symptom) RETURN v.name, count(s) AS symptom_count","MATCH (v:Virus)-[:CAUSES]->(s:Symptom)RETURN v.name, COUNT(s) AS symptom_count",1.0,0.9127592114472296,0
Which virus spreads through 'Animal Transmission'?,MATCH (v:Virus)-[:SPREADS_BY]->(t:Transmission {method: 'Animal Transmission'}) RETURN v.name,MATCH (t:Transmission {method: 'Animal Transmission'})<-[:SPREADS_BY]-(v:Virus) RETURN v;,0.0,0.7288799592295176,0
What is the abstract of the article with the URL 'example.com'?,MATCH (a:Article {url: 'example.com'}) RETURN a.abstract,MATCH (a:Article {url: 'example.com'})-[:ABOUT_VIRUS]->(v:Virus) RETURN a.abstract,0.0,0.495975018153117,0
How many articles are labeled as fact?,MATCH (a:Article {label: 'True'}) RETURN count(a),MATCH (a:Article)-[:PUBLISHED_BY]->(o:Organization) WHERE a.label = 'fact' RETURN COUNT(a),1.0,0.16618655166630525,0
Which viruses are mentioned in the dataset?,MATCH (v:Virus) RETURN v.name,MATCH (v:Virus) RETURN v.name,1.0,1.0,1
Which viruses affect multiple locations?,"MATCH (v:Virus)-[:AFFECTS]->(l:Location) WITH v, COUNT(l) AS location_count WHERE location_count > 1 RETURN v.name, location_count",The query does not generate!,0.0,0.0,0
Which viruses are spread by multiple transmission methods?,"MATCH (v:Virus)-[:SPREADS_BY]->(t:Transmission) WITH v, COUNT(t) AS method_count WHERE method_count > 1 RETURN v.name, method_count","MATCH (v:Virus)-[:SPREADS_BY]->(t:Transmission), (v2:Virus {id: v.id})-[:SPREADS_BY]->(t2:Transmission) WHERE t2<>t RETURN v.name AS virus, count(*) AS count;",0.0,0.3623170365152145,0
Which viruses are involved in more than one article?,"MATCH (v:Virus)<-[:ABOUT_VIRUS]-(a:Article) WITH v, COUNT(a) AS article_count WHERE article_count > 1 RETURN v.name, article_count",The query does not generate!,0.0,0.0,0
What is the total number of viruses in the dataset?,MATCH (v:Virus) RETURN COUNT(v) AS virus_count,MATCH (v:Virus) RETURN COUNT(v),1.0,0.6951439283988786,0
Which symptom is most frequently mentioned in articles?,"MATCH (a:Article)-[:MENTIONS_SYMPTOM]->(s:Symptom) RETURN s.name, COUNT(a) AS mention_count ORDER BY mention_count DESC LIMIT 1",The query does not generate!,0.0,0.0,0
Which viruses cause both 'Fever' and 'Rash'?,"MATCH (v:Virus)-[:CAUSES]->(s:Symptom) WHERE s.name IN ['Fever', 'Rash'] RETURN v.name","MATCH (v1:Virus)-[:CAUSES]->(s1:Symptom {name: 'Fever'}),      (v1)-[:CAUSES]->(s2:Symptom {name: 'Rash'})RETURN v1.name AS virusName",1.0,0.25508074071062714,0
Which symptoms are related to viruses that affect Mexico?,MATCH (v:Virus)-[:CAUSES]->(s:Symptom) WHERE (v)-[:AFFECTS]->(l:Location {name: 'Mexico'}) RETURN DISTINCT s.name,"MATCH p=(location:Location {name: ""Mexico""})<-[:AFFECTS]-(virus:Virus)-[:CAUSES]->(symptom:Symptom) RETURN symptom.name",1.0,0.4817138062144224,0
How many symptoms are mentioned in each article?,"MATCH (a:Article)-[:MENTIONS_SYMPTOM]->(s:Symptom) RETURN a.url, COUNT(s) AS symptom_count","MATCH (a:Article)-[:MENTIONS_SYMPTOM]->(s:Symptom) RETURN a.url AS article_url, COLLECT(DISTINCT s.name) AS symptom_mentions;",1.0,0.6530054895237785,0
Which viruses cause symptoms related to respiratory issues?,MATCH (s:Symptom) WHERE s.name CONTAINS 'Respiratory' WITH s MATCH (v:Virus)-[:CAUSES]->(s) RETURN v.name,MATCH (v:Virus)-[:CAUSES]->(s:Symptom) WHERE s.name CONTAINS 'respiratory' RETURN v.name,0.0,0.7196039023593984,0
Which locations are mentioned in more than one article?,"MATCH (a:Article)-[:MENTIONS_LOCATION]->(l:Location) WITH l, COUNT(a) AS article_count WHERE article_count > 1 RETURN l.name, article_count",The query does not generate!,0.0,0.0,0
Which viruses affect locations in both North America and Europe?,"MATCH (v:Virus)-[:AFFECTS]->(l:Location) WHERE l.country IN ['United States', 'Mexico', 'Canada', 'United Kingdom', 'France', 'Germany'] RETURN v.name, COUNT(l) AS location_count","MATCH (v:Virus)-[:AFFECTS]->(l:Location {country: ""USA""}) WHERE l.country = ""USA""OPTIONAL MATCH (v)-[:AFFECTS]->(e:Location) WHERE e.country = ""United Kingdom"" OR e.country = ""France"" OR e.country = ""Germany"" OR e.country = ""Italy""RETURN v.name AS name",0.0,0.26628360918142724,0
Which countries have the most virus-related articles?,"MATCH (a:Article)-[:MENTIONS_LOCATION]->(l:Location) RETURN l.country, COUNT(a) AS article_count ORDER BY article_count DESC","MATCH (l:Location)<-[:AFFECTS]-(v:Virus), (a:Article)-[:MENTIONS_LOCATION]->(l), (o:Organization)<-[:PUBLISHED_BY]-(a) RETURN l.country AS country, COUNT(DISTINCT a.url) AS num_articles ORDER BY num_articles DESC;",1.0,0.3313530001784075,0
What are the top 3 locations most frequently affected by viruses?,"MATCH (v:Virus)-[:AFFECTS]->(l:Location) RETURN l.name, COUNT(v) AS virus_count ORDER BY virus_count DESC LIMIT 3",,0.0,0.0,0
Which articles mention locations in Asia?,"MATCH (a:Article)-[:MENTIONS_LOCATION]->(l:Location) WHERE l.country IN ['China', 'India', 'Japan'] RETURN a.url",,0.0,0.0,0
Which transmission method is most common for viruses?,"MATCH (v:Virus)-[:SPREADS_BY]->(t:Transmission) RETURN t.method, COUNT(v) AS virus_count ORDER BY virus_count DESC LIMIT 1",The query does not generate!,0.0,0.0,0
Which viruses are spread by both airborne and droplet transmission?,"MATCH (v:Virus)-[:SPREADS_BY]->(t:Transmission) WHERE t.method IN ['Airborne', 'Droplet'] RETURN v.name",The query does not generate!,0.0,0.0,0
Which articles mention viruses that are spread by direct contact?,MATCH (a:Article)-[:ABOUT_VIRUS]->(v:Virus)-[:SPREADS_BY]->(t:Transmission {method: 'Direct Contact'}) RETURN a.url,,0.0,0.0,0
Which transmission methods are mentioned in the most articles?,"MATCH (a:Article)-[:MENTIONS_TRANSMISSION]->(t:Transmission) RETURN t.method, COUNT(a) AS mention_count ORDER BY mention_count DESC","MATCH (t:Transmission)-[:MENTIONS_TRANSMISSION]-(a:Article) RETURN t.method, COUNT(a) AS count ORDER BY count DESC LIMIT 1",1.0,0.6801709367595474,0
How many different transmission methods are associated with each virus?,"MATCH (v:Virus)-[:SPREADS_BY]->(t:Transmission) RETURN v.name, COUNT(t) AS method_count",The query does not generate!,0.0,0.0,0
Which organizations are involved in more than one virus?,"MATCH (o:Organization)-[:INVOLVED_IN]->(v:Virus) WITH o, COUNT(v) AS virus_count WHERE virus_count > 1 RETURN o.name, virus_count",The query does not generate!,0.0,0.0,0
Which articles are published by more than one organization?,"MATCH (a:Article)-[:PUBLISHED_BY]->(o:Organization) WITH a, COUNT(o) AS org_count WHERE org_count > 1 RETURN a.url, org_count","MATCH (a:Article)-[:PUBLISHED_BY]->(o1:Organization), (a)-[p: PUBLISHED_BY]->(o2:Organization) WHERE o1 <> o2 RETURN a;",1.0,0.38925667353626686,0
Which organizations are involved in articles about viruses spread by airborne transmission?,MATCH (a:Article)-[:ABOUT_VIRUS]->(v:Virus)-[:SPREADS_BY]->(t:Transmission {method: 'Airborne'})-[:PUBLISHED_BY]->(o:Organization) RETURN o.name,,0.0,0.0,0
What is the total number of organizations involved in the dataset?,MATCH (o:Organization) RETURN COUNT(o) AS org_count,MATCH (o:Organization) RETURN COUNT(o),1.0,0.6951439283988786,0
Which organizations are involved in viruses affecting both North and South America?,"MATCH (o:Organization)-[:INVOLVED_IN]->(v:Virus)-[:AFFECTS]->(l:Location) WHERE l.country IN ['United States', 'Brazil'] RETURN DISTINCT o.name",The query does not generate!,0.0,0.0,0
Which articles are about viruses that spread by both airborne and direct contact?,"MATCH (a:Article)-[:ABOUT_VIRUS]->(v:Virus)-[:SPREADS_BY]->(t:Transmission) WHERE t.method IN ['Airborne', 'Direct Contact'] RETURN a.url","MATCH (v:Virus)-[:CAUSES]->(s:Symptom), (v)-[:AFFECTS]->(l:Location), (v)-[:SPREADS_BY]->(t:Transmission) WHERE t.method='airborne' OR t.method = 'direct contact' MATCH (a:Article)-[:ABOUT_VIRUS]->(v) RETURN a",1.0,0.45300905559662047,0
Which articles are related to more than one virus?,"MATCH (a:Article)-[:ABOUT_VIRUS]->(v:Virus) WITH a, COUNT(v) AS virus_count WHERE virus_count > 1 RETURN a.url, virus_count",The query does not generate!,0.0,0.0,0
Which articles mention both 'Fever' and 'Rash' as symptoms?,"MATCH (a:Article)-[:MENTIONS_SYMPTOM]->(s:Symptom) WHERE s.name IN ['Fever', 'Rash'] RETURN a.url",The query does not generate!,0.0,0.0,0
Which articles are published by more than one organization?,"MATCH (a:Article)-[:PUBLISHED_BY]->(o:Organization) WITH a, COUNT(o) AS org_count WHERE org_count > 1 RETURN a.url, org_count",The query does not generate!,0.0,0.0,0
Which articles mention both Mexico and the United States?,"MATCH (a:Article)-[:MENTIONS_LOCATION]->(l:Location) WHERE l.country IN ['Mexico', 'United States'] RETURN DISTINCT a.url",,0.0,0.0,0
Which organizations publish articles about Mpox in Mexico?,"MATCH (a:Article)-[:ABOUT_VIRUS]->(v:Virus {name: 'Mpox'})-[:PUBLISHED_BY]->(o:Organization) WHERE (a)-[:MENTIONS_LOCATION]->(l:Location {name: 'Mexico'}) RETURN o.name, a.url",The query does not generate!,0.0,0.0,0
Which viruses cause symptoms related to respiratory and cardiovascular issues?,MATCH (s:Symptom) WHERE s.name CONTAINS 'Respiratory' OR s.name CONTAINS 'Cardiovascular' WITH s MATCH (v:Virus)-[:CAUSES]->(s) RETURN v.name,"MATCH p=(v:Virus)-[:CAUSES]->(s:Symptom) WHERE s.name IN ['respiratory issues', 'cardiovascular issues'] RETURN v.name, collect(DISTINCT s.name) as symptoms;",0.0,0.5174507278187632,0
Which transmission methods are mentioned in articles about viruses affecting both Mexico and the United States?,"MATCH (a:Article)-[:ABOUT_VIRUS]->(v:Virus)-[:MENTIONS_TRANSMISSION]->(t:Transmission) WHERE (a)-[:MENTIONS_LOCATION]->(l:Location) AND l.country IN ['Mexico', 'United States'] RETURN t.method, COUNT(a)",,0.0,0.0,0
Which symptoms are caused by viruses that are spread by airborne and droplet transmission?,"MATCH (v:Virus)-[:CAUSES]->(s:Symptom) WHERE (v)-[:SPREADS_BY]->(t:Transmission) AND t.method IN ['Airborne', 'Droplet'] RETURN s.name",The query does not generate!,0.0,0.0,0
Which organizations publish articles about viruses affecting both Mexico and Brazil?,"MATCH (a:Article)-[:ABOUT_VIRUS]->(v:Virus)-[:PUBLISHED_BY]->(o:Organization) WHERE (a)-[:MENTIONS_LOCATION]->(l:Location) AND l.country IN ['Mexico', 'Brazil'] RETURN DISTINCT o.name, a.url","MATCH (v:Virus)-[:AFFECTS]->(l1:Location {name:""Mexico""}),(v2:Virus)-[:AFFECTS]->(l2:Location {name:""Brazil""}),(a:Article)-[:PUBLISHED_BY]->(o:Organization), (a)-[:ABOUT_VIRUS]->(v2) -[:AFFECTS]->(l2) WHERE v2=a.virus RETURN o.name",0.0,0.40345300062911443,0
Which viruses cause the most symptoms?,"MATCH (v:Virus)-[:CAUSES]->(s:Symptom) RETURN v.name, COUNT(s) AS symptom_count ORDER BY symptom_count DESC LIMIT 1","MATCH (v:Virus)-[:CAUSES]->(s:Symptom) RETURN v.name, count(s) as symptom_count ORDER BY symptom_count DESC",1.0,0.8093924857750073,0
Which viruses affect the most countries?,"MATCH (v:Virus)-[:AFFECTS]->(l:Location) RETURN v.name, COUNT(DISTINCT l.country) AS country_count ORDER BY country_count DESC LIMIT 1","MATCH (v:Virus)-[:AFFECTS]->(l:Location) RETURN COUNT(DISTINCT l.name) as country_count, v.name as virus_name ORDER BY country_count DESC",1.0,0.6665702299406367,0
Which organizations are involved in the most viruses?,"MATCH (o:Organization)-[:INVOLVED_IN]->(v:Virus) RETURN o.name, COUNT(v) AS virus_count ORDER BY virus_count DESC LIMIT 1",The query does not generate!,0.0,0.0,0
Which articles mention viruses affecting more than one continent?,"MATCH (a:Article)-[:MENTIONS_LOCATION]->(l:Location) WITH a, COUNT(DISTINCT l.country) AS location_count WHERE location_count > 1 RETURN a.url",The query does not generate!,0.0,0.0,0
Which viruses are transmitted via multiple methods in more than one location?,"MATCH (v:Virus)-[:SPREADS_BY]->(t:Transmission), (v)-[:AFFECTS]->(l:Location) WITH v, COUNT(DISTINCT t) AS method_count, COUNT(DISTINCT l) AS location_count WHERE method_count > 1 AND location_count > 1 RETURN v.name",The query does not generate!,0.0,0.0,0
Which symptoms are associated with viruses transmitted by direct contact?,MATCH (v:Virus)-[:SPREADS_BY]->(t:Transmission {method: 'Direct Contact'})-[:CAUSES]->(s:Symptom) RETURN DISTINCT s.name,"MATCH (v:Virus)-[:SPREADS_BY]->(t:Transmission), (v)-[:CAUSES]->(s:Symptom) WHERE t.method = 'Direct Contact' RETURN s.name",0.0,0.6900129685476145,0
What articles mention symptoms related to 'Cardiovascular' issues?,MATCH (a:Article)-[:MENTIONS_SYMPTOM]->(s:Symptom) WHERE s.name CONTAINS 'Cardiovascular' RETURN a.url,The query does not generate!,0.0,0.0,0
What viruses are transmitted via both 'Direct Contact' and 'Airborne' methods?,"MATCH (v:Virus)-[:SPREADS_BY]->(t:Transmission) WHERE t.method IN ['Direct Contact', 'Airborne'] RETURN DISTINCT v.name",,0.0,0.0,0
Which organizations publish articles about viruses affecting Europe?,"MATCH (a:Article)-[:MENTIONS_LOCATION]->(l:Location) WHERE l.country IN ['United Kingdom', 'France', 'Germany']-[:PUBLISHED_BY]->(o:Organization) RETURN DISTINCT o.name, a.url","MATCH (o:Organization)<-[p:PUBLISHED_BY]-(a:Article)-[q:ABOUT_VIRUS]->(v:Virus)-[:AFFECTS]->(l:Location {name: ""Europe""}) RETURN o.name",0.0,0.4258122284366037,0
Which viruses cause both respiratory and gastrointestinal symptoms?,MATCH (v:Virus)-[:CAUSES]->(s:Symptom) WHERE s.name CONTAINS 'Respiratory' OR s.name CONTAINS 'Gastrointestinal' RETURN DISTINCT v.name,,0.0,0.0,0
Which articles mention both respiratory and cardiovascular symptoms?,MATCH (a:Article)-[:MENTIONS_SYMPTOM]->(s:Symptom) WHERE s.name CONTAINS 'Respiratory' OR s.name CONTAINS 'Cardiovascular' RETURN a.url,The query does not generate!,0.0,0.0,0
Which organizations are involved in publishing articles about viruses affecting Asia?,"MATCH (a:Article)-[:MENTIONS_LOCATION]->(l:Location) WHERE l.country IN ['China', 'India', 'Japan']-[:PUBLISHED_BY]->(o:Organization) RETURN DISTINCT o.name, a.url","MATCH (a:Article)-[:MENTIONS_LOCATION]->(l:Location {country: ""Asia""})<-[:AFFECTS]-(v:Virus)<-[:ABOUT_VIRUS]-(a2:Article)-[:PUBLISHED_BY]->(o:Organization) RETURN o.name",0.0,0.4807444824690832,0
Which articles mention viruses transmitted by both animals and direct contact?,"MATCH (a:Article)-[:ABOUT_VIRUS]->(v:Virus)-[:SPREADS_BY]->(t:Transmission) WHERE t.method IN ['Animal', 'Direct Contact'] RETURN DISTINCT a.url","MATCH (v:Virus)-[:SPREADS_BY *2..]-(t:Transmission)<-[:SPREADS_BY]-(v2:Virus) WHERE v2.method = ""animals"" AND t.method = ""direct_contact"" MATCH (a:Article)-[:MENTIONS_TRANSMISSION]->(t) Return a.url",0.0,0.37835894268933723,0
Which symptoms are most commonly mentioned in articles about viruses affecting the United States?,"MATCH (a:Article)-[:MENTIONS_SYMPTOM]->(s:Symptom)-[:MENTIONS_LOCATION]->(l:Location {country: 'United States'}) RETURN s.name, COUNT(a) AS mention_count ORDER BY mention_count DESC LIMIT 1","MATCH (v:Virus {name: 'H1N1'})-[:AFFECTS]->(l:Location {country: 'United States'}), (a:Article)-[:ABOUT_VIRUS]->(v), (a)-[:MENTIONS_SYMPTOM]->(s:Symptom) RETURN s.name AS symptom, COUNT(a) AS count ORDER BY count DESC LIMIT 10",0.0,0.5213605542461228,0
Which articles mention viruses affecting both North America and Asia?,"MATCH (a:Article)-[:MENTIONS_LOCATION]->(l:Location) WHERE l.country IN ['United States', 'China'] RETURN DISTINCT a.url",The query does not generate!,0.0,0.0,0
Which transmission methods are mentioned in articles about viruses causing respiratory symptoms?,MATCH (a:Article)-[:ABOUT_VIRUS]->(v:Virus)-[:SPREADS_BY]->(t:Transmission)-[:MENTIONS_SYMPTOM]->(s:Symptom {name: 'Respiratory'}) RETURN t.method,,0.0,0.0,0
Which organizations are involved in viruses affecting multiple continents?,"MATCH (o:Organization)-[:INVOLVED_IN]->(v:Virus)-[:AFFECTS]->(l:Location) WITH o, COUNT(DISTINCT l.country) AS continent_count WHERE continent_count > 1 RETURN o.name, continent_count",The query does not generate!,0.0,0.0,0
What symptoms are mentioned in articles published by WHO?,"MATCH (a:Article)-[:PUBLISHED_BY]->(o:Organization {name: 'WHO'})-[:MENTIONS_SYMPTOM]->(s:Symptom) RETURN s.name, COUNT(a) AS mention_count ORDER BY mention_count DESC","MATCH (a:Article)-[:PUBLISHED_BY]->(o:Organization),       (o)-[:INVOLVED_IN]->(v:Virus),      (v)-[:CAUSES]->(s:Symptom),      (a)-[:MENTIONS_SYMPTOM]->(s)WHERE o.name = 'WHO'RETURN DISTINCT s.name",1.0,0.4397341507197083,0
Which transmission methods are associated with articles mentioning cardiovascular symptoms?,MATCH (a:Article)-[:MENTIONS_SYMPTOM]->(s:Symptom {name: 'Cardiovascular'})-[:ABOUT_VIRUS]->(v:Virus)-[:SPREADS_BY]->(t:Transmission) RETURN t.method,MATCH (s:Symptom {name: 'cardiovascular'})<-[:MENTIONS_SYMPTOM]-(a:Article) <-[:ABOUT_VIRUS]- (v:Virus)-[:SPREADS_BY]->(t:Transmission) RETURN t.method AS method,0.0,0.7692980236092443,0
Which viruses are mentioned in articles labeled as true?,MATCH (a:Article {label: 'True'})-[:ABOUT_VIRUS]->(v:Virus) RETURN DISTINCT v.name,"MATCH (v:Virus)<-[:ABOUT_VIRUS]-(a:Article) WHERE a.label = ""true"" RETURN v.name",1.0,0.46155676188654277,0
Which viruses are mentioned in articles labeled as fake?,MATCH (a:Article {label: 'Fake'})-[:ABOUT_VIRUS]->(v:Virus) RETURN DISTINCT v.name,MATCH (a:Article {label: 'fake'})-[:ABOUT_VIRUS]->(v:Virus) RETURN v.name,0.0,0.8177482498436096,0
What are the most common symptoms mentioned in articles about viruses affecting Europe?,"MATCH (a:Article)-[:MENTIONS_SYMPTOM]->(s:Symptom)-[:MENTIONS_LOCATION]->(l:Location) WHERE l.country IN ['United Kingdom', 'France', 'Germany'] RETURN s.name, COUNT(a) AS mention_count ORDER BY mention_count DESC LIMIT 5",The query does not generate!,0.0,0.0,0
What viruses are mentioned in articles labeled as fact?,MATCH (a:Article {label: 'True'})-[:ABOUT_VIRUS]->(v:Virus) RETURN v.name,"MATCH (a:Article {label: ""fact""})-[r:ABOUT_VIRUS]->(v:Virus) RETURN v.name",0.0,0.7630637969873822,0
Which viruses affect both Mexico and the United Kingdom?,"MATCH (v:Virus)-[:AFFECTS]->(l:Location) WHERE l.country IN ['Mexico', 'United Kingdom'] RETURN DISTINCT v.name","MATCH (v:Virus)-[:AFFECTS]->(l1:Location {country: 'Mexico'}), (v)-[:AFFECTS]->(l2:Location {country: 'United Kingdom'}) RETURN v.name",0.0,0.3401437503146145,0
Which organizations are involved in viruses that affect multiple countries?,"MATCH (o:Organization)-[:INVOLVED_IN]->(v:Virus)-[:AFFECTS]->(l:Location) WITH o, COUNT(DISTINCT l.country) AS country_count WHERE country_count > 1 RETURN o.name, country_count","MATCH (v:Virus)-[r:AFFECTS]->(l:Location),(m:Virus)-[t:AFFECTS]->(k:Location) WHERE l.country <> k.country MATCH (o:Organization)-[i:INVOLVED_IN]->(v) RETURN o.name",1.0,0.4640572954861646,0
Which viruses affect both Africa and Asia?,"MATCH (v:Virus)-[:AFFECTS]->(l:Location) WHERE l.country IN ['Nigeria', 'South Africa', 'China', 'India'] RETURN DISTINCT v.name","MATCH (v:Virus)-[:AFFECTS]->(loc1:Location {country:""Africa""})<-[r:AFFECTS]-(v2:Virus)-[:AFFECTS]->(loc2:Location {country:""Asia""}) RETURN v2.name AS virus_name",0.0,0.23008688482846998,0
Which viruses cause both neurological and gastrointestinal symptoms?,MATCH (v:Virus)-[:CAUSES]->(s:Symptom) WHERE s.name CONTAINS 'Neurological' OR s.name CONTAINS 'Gastrointestinal' RETURN DISTINCT v.name,The query does not generate!,0.0,0.0,0
Which articles mention viruses that affect both Brazil and the United States?,"MATCH (a:Article)-[:MENTIONS_LOCATION]->(l:Location) WHERE l.country IN ['Brazil', 'United States'] RETURN DISTINCT a.url",,0.0,0.0,0
