question,query,answer_llama37b,retrieve_data_llama37b,BLEU_score_llama37b,SQ_score_llama37b
Which symptoms are mentioned in the article with the URL 'example.com'?,MATCH (a:Article {url: 'example.com'})-[:MENTIONS_SYMPTOM]->(s:Symptom) RETURN s.name,MATCH (a:Article {url: 'example.com'})-[:MENTIONS_SYMPTOM]->(s:Symptom) RETURN s.name,0.0,1.0,1
What are the symptoms caused by Mpox in Mexico?,MATCH (v:Virus {name: 'Mpox'})-[:CAUSES]->(s:Symptom)<-[:MENTIONS_SYMPTOM]-(a:Article)-[:MENTIONS_LOCATION]->(l:Location {name: 'Mexico'}) RETURN s.name,"MATCH (v:Virus {name: ""Mpox""})-[:AFFECTS]->(l:Location {country: ""Mexico""})<-[:AFFECTS]-(v)-[:CAUSES]->(s:Symptom) RETURN s.name;",0.0,0.6164976849574209,0
Which transmission methods are mentioned in articles about Mpox in Mexico?,MATCH (a:Article)-[:ABOUT_VIRUS]->(v:Virus {name: 'Mpox'})-[:SPREADS_BY]->(t:Transmission) WHERE (a)-[:MENTIONS_LOCATION]->(l:Location {name: 'Mexico'}) RETURN t.method,,0.0,0.0,0
Which organizations are involved in publishing articles about Mpox?,"MATCH (a:Article)-[:ABOUT_VIRUS]->(v:Virus {name: 'Mpox'})-[:PUBLISHED_BY]->(o:Organization) RETURN o.name, a.url","MATCH (v:Virus {name: ""Mpox""})-[:CAUSES]->(:Symptom)-[:MENTIONS_SYMPTOM]-(a:Article)-[:PUBLISHED_BY]->(o:Organization) RETURN o.name",1.0,0.619459719991769,0
How many articles mention Mpox?,MATCH (a:Article)-[:ABOUT_VIRUS]->(v:Virus {name: 'Mpox'}) RETURN count(a),"MATCH (a:Article)-[:ABOUT_VIRUS]->(v:Virus {name: ""Mpox""}) RETURN COUNT(a)",1.0,0.7630637969873822,0
How many symptoms are associated with each virus?,"MATCH (v:Virus)-[:CAUSES]->(s:Symptom) RETURN v.name, count(s) AS symptom_count","MATCH (v:Virus)-[:CAUSES]->(s:Symptom) RETURN v.name as virus, count(s) as symptom_count ORDER BY symptom_count DESC;",1.0,0.6568276233720595,0
Which virus spreads through 'Animal Transmission'?,MATCH (v:Virus)-[:SPREADS_BY]->(t:Transmission {method: 'Animal Transmission'}) RETURN v.name,MATCH (v:Virus)-[:SPREADS_BY]->(t:Transmission {method: 'Animal Transmission'}) RETURN v.name;,0.0,0.9660520303055021,0
What is the abstract of the article with the URL 'example.com'?,MATCH (a:Article {url: 'example.com'}) RETURN a.abstract,MATCH (a:Article {url: 'example.com'}) RETURN a.abstract,0.0,1.0,1
How many articles are labeled as fact?,MATCH (a:Article {label: 'True'}) RETURN count(a),MATCH (a:Article {label: 'fact'}) RETURN count(a),1.0,0.8153551038173115,0
Which viruses are mentioned in the dataset?,MATCH (v:Virus) RETURN v.name,MATCH (v:Virus) RETURN v.name AS VirusName;,1.0,0.7361703354503866,0
Which viruses affect multiple locations?,"MATCH (v:Virus)-[:AFFECTS]->(l:Location) WITH v, COUNT(l) AS location_count WHERE location_count > 1 RETURN v.name, location_count",The query does not generate!,0.0,0.0,0
Which viruses are spread by multiple transmission methods?,"MATCH (v:Virus)-[:SPREADS_BY]->(t:Transmission) WITH v, COUNT(t) AS method_count WHERE method_count > 1 RETURN v.name, method_count","MATCH (v:Virus)-[:SPREADS_BY]->(t:Transmission)WITH v, COLLECT(t.method) AS transmission_methodsWHERE SIZE(transmission_methods) > 1RETURN v.name AS virus_name, transmission_methods AS transmission_methods",1.0,0.4693260374881259,0
Which viruses are involved in more than one article?,"MATCH (v:Virus)<-[:ABOUT_VIRUS]-(a:Article) WITH v, COUNT(a) AS article_count WHERE article_count > 1 RETURN v.name, article_count",The query does not generate!,0.0,0.0,0
What is the total number of viruses in the dataset?,MATCH (v:Virus) RETURN COUNT(v) AS virus_count,MATCH (v:Virus) RETURN count(v),1.0,0.49953614375977784,0
Which symptom is most frequently mentioned in articles?,"MATCH (a:Article)-[:MENTIONS_SYMPTOM]->(s:Symptom) RETURN s.name, COUNT(a) AS mention_count ORDER BY mention_count DESC LIMIT 1","MATCH (a:Article)-[:MENTIONS_SYMPTOM]->(s:Symptom)RETURN s.name AS Symptom, COUNT(a) AS FrequencyORDER BY Frequency DESCLIMIT 1",1.0,0.6916869763122739,0
Which viruses cause both 'Fever' and 'Rash'?,"MATCH (v:Virus)-[:CAUSES]->(s:Symptom) WHERE s.name IN ['Fever', 'Rash'] RETURN v.name",MATCH (v:Virus)-[:CAUSES]->(s1:Symptom {name: 'Fever'})-[:CAUSES]-(v)-[:CAUSES]->(s2:Symptom {name: 'Rash'}) RETURN v.name;,0.0,0.31450105054382466,0
Which symptoms are related to viruses that affect Mexico?,MATCH (v:Virus)-[:CAUSES]->(s:Symptom) WHERE (v)-[:AFFECTS]->(l:Location {name: 'Mexico'}) RETURN DISTINCT s.name,,0.0,0.0,0
How many symptoms are mentioned in each article?,"MATCH (a:Article)-[:MENTIONS_SYMPTOM]->(s:Symptom) RETURN a.url, COUNT(s) AS symptom_count","MATCH (a:Article)-[:MENTIONS_SYMPTOM]-(s:Symptom) RETURN a.label, count(s) as symptomCount ORDER BY symptomCount DESC;",1.0,0.6156902656532267,0
Which viruses cause symptoms related to respiratory issues?,MATCH (s:Symptom) WHERE s.name CONTAINS 'Respiratory' WITH s MATCH (v:Virus)-[:CAUSES]->(s) RETURN v.name,"MATCH (v:Virus)-[:CAUSES]->(s:Symptom) WHERE s.name CONTAINS ""respiratory"" RETURN v.name AS VirusName, COLLECT(s.name) AS Symptoms",0.0,0.6198549813336538,0
Which locations are mentioned in more than one article?,"MATCH (a:Article)-[:MENTIONS_LOCATION]->(l:Location) WITH l, COUNT(a) AS article_count WHERE article_count > 1 RETURN l.name, article_count",The query does not generate!,0.0,0.0,0
Which viruses affect locations in both North America and Europe?,"MATCH (v:Virus)-[:AFFECTS]->(l:Location) WHERE l.country IN ['United States', 'Mexico', 'Canada', 'United Kingdom', 'France', 'Germany'] RETURN v.name, COUNT(l) AS location_count",The query does not generate!,0.0,0.0,0
Which countries have the most virus-related articles?,"MATCH (a:Article)-[:MENTIONS_LOCATION]->(l:Location) RETURN l.country, COUNT(a) AS article_count ORDER BY article_count DESC",The query does not generate!,0.0,0.0,0
What are the top 3 locations most frequently affected by viruses?,"MATCH (v:Virus)-[:AFFECTS]->(l:Location) RETURN l.name, COUNT(v) AS virus_count ORDER BY virus_count DESC LIMIT 3",The query does not generate!,0.0,0.0,0
Which articles mention locations in Asia?,"MATCH (a:Article)-[:MENTIONS_LOCATION]->(l:Location) WHERE l.country IN ['China', 'India', 'Japan'] RETURN a.url","MATCH (a:Article)-[:MENTIONS_LOCATION]->(l:Location) WHERE l.country STARTS WITH 'Asia' RETURN a.url, a.abstract, l.name",0.0,0.6758402054234462,0
Which transmission method is most common for viruses?,"MATCH (v:Virus)-[:SPREADS_BY]->(t:Transmission) RETURN t.method, COUNT(v) AS virus_count ORDER BY virus_count DESC LIMIT 1","MATCH (:Virus)-[:SPREADS_BY]->(t:Transmission)RETURN t.method AS method, COUNT(DISTINCT t) AS countORDER BY count DESCLIMIT 1",1.0,0.5964926521169034,0
Which viruses are spread by both airborne and droplet transmission?,"MATCH (v:Virus)-[:SPREADS_BY]->(t:Transmission) WHERE t.method IN ['Airborne', 'Droplet'] RETURN v.name",,0.0,0.0,0
Which articles mention viruses that are spread by direct contact?,MATCH (a:Article)-[:ABOUT_VIRUS]->(v:Virus)-[:SPREADS_BY]->(t:Transmission {method: 'Direct Contact'}) RETURN a.url,"MATCH (a:Article)-[:ABOUT_VIRUS]->(v:Virus)-[:SPREADS_BY]->(t:Transmission {method: ""direct contact""}) RETURN a.url, a.abstract, a.label",0.0,0.7418020983445407,0
Which transmission methods are mentioned in the most articles?,"MATCH (a:Article)-[:MENTIONS_TRANSMISSION]->(t:Transmission) RETURN t.method, COUNT(a) AS mention_count ORDER BY mention_count DESC","MATCH (a:Article)-[:MENTIONS_TRANSMISSION]->(t:Transmission)WITH t.method as method, count(a) as countORDER BY count DESCRETURN method, count",1.0,0.5934235075861324,0
How many different transmission methods are associated with each virus?,"MATCH (v:Virus)-[:SPREADS_BY]->(t:Transmission) RETURN v.name, COUNT(t) AS method_count","MATCH (v:Virus)-[:SPREADS_BY]->(t:Transmission) RETURN v.name AS Virus, COLLECT(t.method) AS Transmission_Methods, COUNT(DISTINCT t.method) AS Count ORDER BY Count DESC;",1.0,0.5034198284022988,0
Which organizations are involved in more than one virus?,"MATCH (o:Organization)-[:INVOLVED_IN]->(v:Virus) WITH o, COUNT(v) AS virus_count WHERE virus_count > 1 RETURN o.name, virus_count","MATCH (o:Organization)-[:INVOLVED_IN]->(v:Virus)WITH o, COUNT(DISTINCT v) as virus_countWHERE virus_count > 1RETURN o.name AS OrganizationName",1.0,0.6618440664460226,0
Which articles are published by more than one organization?,"MATCH (a:Article)-[:PUBLISHED_BY]->(o:Organization) WITH a, COUNT(o) AS org_count WHERE org_count > 1 RETURN a.url, org_count","MATCH (a:Article)-[:PUBLISHED_BY]->(o:Organization)WITH a, COLLECT(o.name) AS orgsWHERE SIZE(orgs) > 1RETURN a.url, a.abstract, orgs",1.0,0.5713369985277635,0
Which organizations are involved in articles about viruses spread by airborne transmission?,MATCH (a:Article)-[:ABOUT_VIRUS]->(v:Virus)-[:SPREADS_BY]->(t:Transmission {method: 'Airborne'})-[:PUBLISHED_BY]->(o:Organization) RETURN o.name,MATCH (o:Organization)<-[:PUBLISHED_BY]-(a:Article)-[:ABOUT_VIRUS]->(v:Virus)-[:SPREADS_BY]->(t:Transmission {method: 'airborne'}) RETURN o.name,1.0,0.8595625310503683,0
What is the total number of organizations involved in the dataset?,MATCH (o:Organization) RETURN COUNT(o) AS org_count,MATCH (o:Organization) RETURN COUNT(o),1.0,0.6951439283988786,0
Which organizations are involved in viruses affecting both North and South America?,"MATCH (o:Organization)-[:INVOLVED_IN]->(v:Virus)-[:AFFECTS]->(l:Location) WHERE l.country IN ['United States', 'Brazil'] RETURN DISTINCT o.name",The query does not generate!,0.0,0.0,0
Which articles are about viruses that spread by both airborne and direct contact?,"MATCH (a:Article)-[:ABOUT_VIRUS]->(v:Virus)-[:SPREADS_BY]->(t:Transmission) WHERE t.method IN ['Airborne', 'Direct Contact'] RETURN a.url","MATCH (v:Virus)-[:SPREADS_BY]->(t:Transmission)<-[:SPREADS_BY]-(v2:Virus) WHERE v.name = v2.name AND t.method IN ['airborne', 'direct contact'] WITH DISTINCT v MATCH (a:Article)-[:ABOUT_VIRUS]->(v) RETURN a.url AS url, a.abstract AS abstract, a.label AS label",0.0,0.43047596091978263,0
Which articles are related to more than one virus?,"MATCH (a:Article)-[:ABOUT_VIRUS]->(v:Virus) WITH a, COUNT(v) AS virus_count WHERE virus_count > 1 RETURN a.url, virus_count",The query does not generate!,0.0,0.0,0
Which articles mention both 'Fever' and 'Rash' as symptoms?,"MATCH (a:Article)-[:MENTIONS_SYMPTOM]->(s:Symptom) WHERE s.name IN ['Fever', 'Rash'] RETURN a.url","MATCH (a:Article)-[:MENTIONS_SYMPTOM]->(s1:Symptom {name: 'Fever'})<-[:MENTIONS_SYMPTOM]-(a)-[:MENTIONS_SYMPTOM]->(s2:Symptom {name: 'Rash'}) RETURN a.url, a.abstract;",0.0,0.2977311851004547,0
Which articles are published by more than one organization?,"MATCH (a:Article)-[:PUBLISHED_BY]->(o:Organization) WITH a, COUNT(o) AS org_count WHERE org_count > 1 RETURN a.url, org_count","MATCH (a:Article)-[:PUBLISHED_BY]->(o:Organization)WITH a, COUNT(o) AS countWHERE count > 1RETURN a.url, a.abstract",1.0,0.6770026283283729,0
Which articles mention both Mexico and the United States?,"MATCH (a:Article)-[:MENTIONS_LOCATION]->(l:Location) WHERE l.country IN ['Mexico', 'United States'] RETURN DISTINCT a.url","MATCH (a:Article)-[:MENTIONS_LOCATION]->(l:Location) WHERE l.country IN [""Mexico"", ""United States""] WITH a, COLLECT(l.country) as countries WHERE SIZE(countries) = 2 RETURN a.url, a.abstract, a.label",0.0,0.41815664670679675,0
Which organizations publish articles about Mpox in Mexico?,"MATCH (a:Article)-[:ABOUT_VIRUS]->(v:Virus {name: 'Mpox'})-[:PUBLISHED_BY]->(o:Organization) WHERE (a)-[:MENTIONS_LOCATION]->(l:Location {name: 'Mexico'}) RETURN o.name, a.url","MATCH (v:Virus {name: ""Mpox""})-[:AFFECTS]->(l:Location {country: ""Mexico""})-[:MENTIONS_LOCATION]-(a:Article)-[:PUBLISHED_BY]-(o:Organization) RETURN o.name",0.0,0.6042129549421101,0
Which viruses cause symptoms related to respiratory and cardiovascular issues?,MATCH (s:Symptom) WHERE s.name CONTAINS 'Respiratory' OR s.name CONTAINS 'Cardiovascular' WITH s MATCH (v:Virus)-[:CAUSES]->(s) RETURN v.name,"MATCH (v:Virus)-[:CAUSES]->(s:Symptom) WHERE s.name CONTAINS 'respiratory' OR s.name CONTAINS 'cardiovascular' RETURN v.name AS VirusName, COLLECT(s.name) AS Symptoms;",0.0,0.6257825700934072,0
Which transmission methods are mentioned in articles about viruses affecting both Mexico and the United States?,"MATCH (a:Article)-[:ABOUT_VIRUS]->(v:Virus)-[:MENTIONS_TRANSMISSION]->(t:Transmission) WHERE (a)-[:MENTIONS_LOCATION]->(l:Location) AND l.country IN ['Mexico', 'United States'] RETURN t.method, COUNT(a)",,0.0,0.0,0
Which symptoms are caused by viruses that are spread by airborne and droplet transmission?,"MATCH (v:Virus)-[:CAUSES]->(s:Symptom) WHERE (v)-[:SPREADS_BY]->(t:Transmission) AND t.method IN ['Airborne', 'Droplet'] RETURN s.name",The query does not generate!,0.0,0.0,0
Which organizations publish articles about viruses affecting both Mexico and Brazil?,"MATCH (a:Article)-[:ABOUT_VIRUS]->(v:Virus)-[:PUBLISHED_BY]->(o:Organization) WHERE (a)-[:MENTIONS_LOCATION]->(l:Location) AND l.country IN ['Mexico', 'Brazil'] RETURN DISTINCT o.name, a.url",MATCH (o:Organization)<-[:PUBLISHED_BY]-(a:Article)-[:ABOUT_VIRUS]->(v:Virus)-[:AFFECTS]->(l1:Location {country: 'Mexico'})<-[:AFFECTS]-(v)-[:AFFECTS]->(l2:Location {country: 'Brazil'}) RETURN o.name,0.0,0.48614465831280945,0
Which viruses cause the most symptoms?,"MATCH (v:Virus)-[:CAUSES]->(s:Symptom) RETURN v.name, COUNT(s) AS symptom_count ORDER BY symptom_count DESC LIMIT 1","MATCH (v:Virus)-[:CAUSES]->(s:Symptom)RETURN v.name as Virus, count(s) as SymptomCountORDER BY SymptomCount DESC;",1.0,0.6051155416948315,0
Which viruses affect the most countries?,"MATCH (v:Virus)-[:AFFECTS]->(l:Location) RETURN v.name, COUNT(DISTINCT l.country) AS country_count ORDER BY country_count DESC LIMIT 1","MATCH (v:Virus)-[:AFFECTS]->(l:Location)WITH v, COUNT(DISTINCT l.country) as country_countORDER BY country_count DESCRETURN v.name AS virus, country_count AS num_countries",1.0,0.580179955291603,0
Which organizations are involved in the most viruses?,"MATCH (o:Organization)-[:INVOLVED_IN]->(v:Virus) RETURN o.name, COUNT(v) AS virus_count ORDER BY virus_count DESC LIMIT 1","MATCH (o:Organization)-[:INVOLVED_IN]->(v:Virus)WITH o, COUNT(v) as virus_countORDER BY virus_count DESCRETURN o.name, virus_count",1.0,0.6687521583961099,0
Which articles mention viruses affecting more than one continent?,"MATCH (a:Article)-[:MENTIONS_LOCATION]->(l:Location) WITH a, COUNT(DISTINCT l.country) AS location_count WHERE location_count > 1 RETURN a.url","MATCH (v:Virus)-[:AFFECTS]->(l:Location)WITH v, COLLECT(DISTINCT l.country) as countriesWHERE SIZE(countries) > 1MATCH (a:Article)-[:ABOUT_VIRUS]->(v)RETURN a.url, a.abstract, a.label",1.0,0.34067881473898776,0
Which viruses are transmitted via multiple methods in more than one location?,"MATCH (v:Virus)-[:SPREADS_BY]->(t:Transmission), (v)-[:AFFECTS]->(l:Location) WITH v, COUNT(DISTINCT t) AS method_count, COUNT(DISTINCT l) AS location_count WHERE method_count > 1 AND location_count > 1 RETURN v.name",The query does not generate!,0.0,0.0,0
Which symptoms are associated with viruses transmitted by direct contact?,MATCH (v:Virus)-[:SPREADS_BY]->(t:Transmission {method: 'Direct Contact'})-[:CAUSES]->(s:Symptom) RETURN DISTINCT s.name,,0.0,0.0,0
What articles mention symptoms related to 'Cardiovascular' issues?,MATCH (a:Article)-[:MENTIONS_SYMPTOM]->(s:Symptom) WHERE s.name CONTAINS 'Cardiovascular' RETURN a.url,"MATCH (a:Article)-[:MENTIONS_SYMPTOM]->(s:Symptom)-[:CAUSES*0..]->(:Virus) WHERE s.name CONTAINS 'Cardiovascular' RETURN a.abstract, a.url, a.label",0.0,0.5321924587087912,0
What viruses are transmitted via both 'Direct Contact' and 'Airborne' methods?,"MATCH (v:Virus)-[:SPREADS_BY]->(t:Transmission) WHERE t.method IN ['Direct Contact', 'Airborne'] RETURN DISTINCT v.name",,0.0,0.0,0
Which organizations publish articles about viruses affecting Europe?,"MATCH (a:Article)-[:MENTIONS_LOCATION]->(l:Location) WHERE l.country IN ['United Kingdom', 'France', 'Germany']-[:PUBLISHED_BY]->(o:Organization) RETURN DISTINCT o.name, a.url","MATCH (o:Organization)<-[:PUBLISHED_BY]-(a:Article)-[:ABOUT_VIRUS]->(v:Virus)-[:AFFECTS]->(l:Location {country: ""Europe""})RETURN o.name AS OrganizationName",0.0,0.45610521993886843,0
Which viruses cause both respiratory and gastrointestinal symptoms?,MATCH (v:Virus)-[:CAUSES]->(s:Symptom) WHERE s.name CONTAINS 'Respiratory' OR s.name CONTAINS 'Gastrointestinal' RETURN DISTINCT v.name,"MATCH (v:Virus)-[:CAUSES]->(s1:Symptom {name: ""respiratory""})-[:MENTIONS_SYMPTOM]-(a:Article)MATCH (v)-[:CAUSES]->(s2:Symptom {name: ""gastrointestinal""})-[:MENTIONS_SYMPTOM]-(a)RETURN v.name;",0.0,0.20063035374653612,0
Which articles mention both respiratory and cardiovascular symptoms?,MATCH (a:Article)-[:MENTIONS_SYMPTOM]->(s:Symptom) WHERE s.name CONTAINS 'Respiratory' OR s.name CONTAINS 'Cardiovascular' RETURN a.url,"MATCH (a:Article)-[:MENTIONS_SYMPTOM]->(s1:Symptom {name: 'respiratory'})<-[:MENTIONS_SYMPTOM]-(a), (a)-[:MENTIONS_SYMPTOM]->(s2:Symptom {name: 'cardiovascular'}) RETURN a.url, a.abstract, a.label;",0.0,0.25753627486000086,0
Which organizations are involved in publishing articles about viruses affecting Asia?,"MATCH (a:Article)-[:MENTIONS_LOCATION]->(l:Location) WHERE l.country IN ['China', 'India', 'Japan']-[:PUBLISHED_BY]->(o:Organization) RETURN DISTINCT o.name, a.url",MATCH (o:Organization)<-[:PUBLISHED_BY]-(a:Article)-[:ABOUT_VIRUS]->(v:Virus)-[:AFFECTS]->(l:Location {country: 'Asia'}) RETURN o.name,0.0,0.49022092931793143,0
Which articles mention viruses transmitted by both animals and direct contact?,"MATCH (a:Article)-[:ABOUT_VIRUS]->(v:Virus)-[:SPREADS_BY]->(t:Transmission) WHERE t.method IN ['Animal', 'Direct Contact'] RETURN DISTINCT a.url","MATCH (a:Article)-[:ABOUT_VIRUS]->(v:Virus)-[:SPREADS_BY]->(t1:Transmission {method: 'animals'}),      (a)-[:ABOUT_VIRUS]->(v)-[:SPREADS_BY]->(t2:Transmission {method: 'direct contact'})RETURN a;",0.0,0.4009238280933748,0
Which symptoms are most commonly mentioned in articles about viruses affecting the United States?,"MATCH (a:Article)-[:MENTIONS_SYMPTOM]->(s:Symptom)-[:MENTIONS_LOCATION]->(l:Location {country: 'United States'}) RETURN s.name, COUNT(a) AS mention_count ORDER BY mention_count DESC LIMIT 1","MATCH (v:Virus)-[:AFFECTS]->(l:Location {country: 'United States'})<-[:MENTIONS_LOCATION]-(a:Article)-[:MENTIONS_SYMPTOM]->(s:Symptom)RETURN s.name AS Symptom, COUNT(a) AS FrequencyORDER BY Frequency DESC;",0.0,0.6658554716206263,0
Which articles mention viruses affecting both North America and Asia?,"MATCH (a:Article)-[:MENTIONS_LOCATION]->(l:Location) WHERE l.country IN ['United States', 'China'] RETURN DISTINCT a.url","MATCH (v:Virus)-[:AFFECTS]->(l1:Location {country: 'North America'}) MATCH (v)-[:AFFECTS]->(l2:Location {country: 'Asia'}) MATCH (a:Article)-[:ABOUT_VIRUS]->(v) RETURN a.url AS url, a.abstract AS abstract, a.label AS label",0.0,0.15893724507964732,0
Which transmission methods are mentioned in articles about viruses causing respiratory symptoms?,MATCH (a:Article)-[:ABOUT_VIRUS]->(v:Virus)-[:SPREADS_BY]->(t:Transmission)-[:MENTIONS_SYMPTOM]->(s:Symptom {name: 'Respiratory'}) RETURN t.method,"MATCH (v:Virus)-[:CAUSES]->(s:Symptom {name: ""Respiratory""}),      (a:Article)-[:ABOUT_VIRUS]->(v),      (a)-[:MENTIONS_TRANSMISSION]->(t:Transmission)RETURN t.method;",0.0,0.6745741062168177,0
Which organizations are involved in viruses affecting multiple continents?,"MATCH (o:Organization)-[:INVOLVED_IN]->(v:Virus)-[:AFFECTS]->(l:Location) WITH o, COUNT(DISTINCT l.country) AS continent_count WHERE continent_count > 1 RETURN o.name, continent_count",The query does not generate!,0.0,0.0,0
What symptoms are mentioned in articles published by WHO?,"MATCH (a:Article)-[:PUBLISHED_BY]->(o:Organization {name: 'WHO'})-[:MENTIONS_SYMPTOM]->(s:Symptom) RETURN s.name, COUNT(a) AS mention_count ORDER BY mention_count DESC",MATCH (o:Organization {name: 'WHO'})<-[:PUBLISHED_BY]-(a:Article)-[:MENTIONS_SYMPTOM]->(s:Symptom) RETURN s.name,1.0,0.6258849468015125,0
Which transmission methods are associated with articles mentioning cardiovascular symptoms?,MATCH (a:Article)-[:MENTIONS_SYMPTOM]->(s:Symptom {name: 'Cardiovascular'})-[:ABOUT_VIRUS]->(v:Virus)-[:SPREADS_BY]->(t:Transmission) RETURN t.method,The query does not generate!,0.0,0.0,0
Which viruses are mentioned in articles labeled as true?,MATCH (a:Article {label: 'True'})-[:ABOUT_VIRUS]->(v:Virus) RETURN DISTINCT v.name,"MATCH (a:Article {label: ""true""})-[:ABOUT_VIRUS]->(v:Virus) RETURN v.name",1.0,0.7889669955982023,0
